word,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42
and,2.000000,5.000000,12.333333,38.333333,115.000000,356.666667,1128.333333,3565.333333,11305.000000,35868.333333,113808.666667,361195.333333,1146343.666667,3638273.333333,11547331.333333,36649514.666667,116320346.333333,369184478.333333,1171739932.333333,3718939353.000000,11803395946.666666,37462336637.666664,118900245952.666672,377372843915.666687,1197728923061.000000,3801425028840.000000,12065194364183.333984,38293248968170.335938,121537446669722.000000,385742953163844.687500,1224294486959545.250000,3885740435462684.500000,12332799741103824.000000,39142591220494728.000000,124233140861648640.000000,394298711636413120.000000,1251449274483700992.000000,3971925954579196416.000000,12606340592724867072.000000,40010771841445355520.000000,126988625412204003328.000000,403044236386781102080.000000,1.2792063537762505e+21
affecting,5.000000,13.222222,31.888889,93.666667,277.777778,862.333333,2718.444444,8589.666667,27232.555556,86386.222222,274102.888889,869902.333333,2760828.888889,8762337.777778,27810284.444444,88265685.222222,280142699.444444,889133551.222222,2821985578.333333,8956589065.111111,28426967000.555557,90223238380.000000,286356009324.333313,908854146607.888916,2884576661122.888672,9155245151862.000000,29057474859633.000000,92224384090778.000000,292707369184653.750000,929012482126154.625000,2948556417826034.500000,9358308005975138.000000,29701968124255552.000000,94269916088635616.000000,299199603278254720.000000,949617930260020992.000000,3013955244562010112.000000,9565874786858418176.000000,30360756219906088960.000000,96360817884727115776.000000,305835834791413350400.000000,970680406163155320832.000000,3.0808046138598564e+21
bleak,3.000000,7.200000,18.200000,61.800000,191.800000,604.000000,1921.600000,6082.800000,19302.400000,61259.000000,194392.400000,616973.800000,1958153.600000,6214847.200000,19725051.000000,62604456.200000,198697746.400000,630638939.400000,2001560022.600000,6352672999.000000,20162500319.200001,63992971414.800003,203104791244.799988,644626360174.800049,2045954416123.399902,6493574779062.000000,20609703266547.800781,65412331915538.398438,207609644416867.593750,658924138506874.625000,2091333577150548.750000,6637601926122541.000000,21066825403206952.000000,66863174006069264.000000,212214415442285504.000000,673539041347716992.000000,2137719246235598080.000000,6784823588818407424.000000,21534086486076162048.000000,68346195699771400192.000000,216921320050044174336.000000,688478101970071322624.000000,2.185133747033068e+21
andx,2.500000,6.750000,16.250000,45.750000,140.250000,432.500000,1364.250000,4317.000000,13677.750000,43395.250000,137694.500000,436977.500000,1386863.750000,4401623.000000,13970048.500000,44338873.000000,140725212.750000,446642055.750000,1417579452.250000,4499199590.750000,14279833305.000000,45322204178.250000,143846372003.500000,456548378397.750000,1449021057659.750000,4598991315312.000000,14596558836846.500000,46327447758603.750000,147036876289885.500000,466674596497353.500000,1481160267501012.000000,4700996699838424.000000,14920309744204588.000000,47354988117907152.000000,150298146492487680.000000,477025414573754816.000000,1514012324567478784.000000,4805264560150297600.000000,15251241432022779904.000000,48405319271447920640.000000,153631751501297483776.000000,487605813257770827776.000000,1.5475930385442758e+21
acting,3.500000,9.833333,24.166667,71.000000,212.666667,659.000000,2078.333333,6569.166667,20823.333333,66058.500000,209602.666667,665197.000000,2111157.833333,6700399.166667,21266011.333333,67495148.500000,214219955.166667,679904031.500000,2157920332.333333,6848938451.666667,21737577341.333332,68992046214.000000,218971158416.166656,694984001870.000000,2205782565892.833496,7000847096380.666992,22219715051261.332031,70522285407313.500000,223827926138729.156250,710398709162766.000000,2254706705686972.000000,7156125515316752.000000,22712547162734016.000000,72086465995551120.000000,228792417798707616.000000,726155315276731904.000000,2304715982190448640.000000,7314848004025046016.000000,23216310267929718784.000000,73685340031698821120.000000,233867021629499736064.000000,742261402096049192960.000000,2.3558344618354506e+21
andxx,3.000000,8.400000,20.000000,53.600000,166.200000,511.000000,1609.400000,5096.600000,16141.200000,51210.200000,162493.600000,515663.000000,1636597.000000,5194216.400000,16485588.800000,52322835.400000,166065123.200000,527067341.600000,1672838064.800000,5309354748.600000,16851152989.000000,53483215042.599998,169748285141.799988,538757448179.200012,1709941211491.800049,5427115595931.599609,17224910133186.199219,54669469239359.000000,173513292319502.406250,550707058822352.812500,1747867616282162.500000,5547488733112149.000000,17606957733740390.000000,55882035196861824.000000,177361808040241344.000000,562921712505448832.000000,1786635228358685952.000000,5670531742336137216.000000,17997479133097355264.000000,57121495807522234368.000000,181295683643182481408.000000,575407286573901611008.000000,1.8262627040475087e+21
are,2.000000,4.000000,9.333333,30.333333,89.666667,286.333333,908.333333,2872.666667,9123.666667,28946.000000,91857.666667,291551.000000,925308.000000,2936790.000000,9320955.666667,29583345.333333,93893424.000000,298004602.666667,945825045.000000,3001917143.666667,9527667312.333334,30239490835.666668,95975938296.000000,304614279989.000000,966803360837.333374,3068499410652.333496,9738990383378.333984,30910201046991.332031,98104679351404.671875,311370608560890.312500,988247008368923.375000,3136558566219246.000000,9955000679000010.000000,31595787684707076.000000,100280635994636368.000000,318276792331934784.000000,1010166275197187712.000000,3206127270761048576.000000,10175802072100657152.000000,32296580598932000768.000000,102504855243119312896.000000,325336154898092195840.000000,1.0325717102164302e+21
all,2.000000,4.000000,8.333333,21.333333,65.000000,192.666667,605.333333,1912.333333,6047.000000,19187.333333,60871.666667,193164.333333,613063.666667,1945711.333333,6175367.333333,19599702.666667,62206583.333333,197434958.333333,626630917.333333,1988839095.000000,6312298488.666667,20034357032.666668,63586262431.666664,201813953245.666656,640529419558.000000,2032951296283.000000,6452304684376.333008,20478717725078.332031,64996602022914.000000,206290175552878.656250,654736327834035.375000,2078042048483866.750000,6595416462622363.000000,20932934608908432.000000,66438223245536536.000000,210865680827466848.000000,669258345252660096.000000,2124132912158531840.000000,6741702453948146688.000000,21397226000977547264.000000,67911819553647697920.000000,215542670572181159936.000000,684102460260063248384.000000
astounding,5.500000,14.500000,41.400000,129.400000,403.100000,1269.200000,4025.600000,12761.800000,40494.500000,128517.900000,407869.500000,1294511.900000,4108575.600000,13039997.300000,41387122.000000,131356892.700000,416908427.900000,1323209312.800000,4199682148.600000,13329206941.100000,42305048899.400002,134270341321.600006,426155389711.000000,1352557939699.300049,4292830795700.100098,13624847928556.900391,43243372477127.703125,137248450261214.203125,435607493592307.687500,1382557603477694.500000,4388045557192105.500000,13927046340468900.000000,44202508210449192.000000,140292613690641152.000000,445269244958803264.000000,1413222658631050496.000000,4485372177575413248.000000,14235947498079268864.000000,45182917524944404480.000000,143404296506527875072.000000,455145293465807618048.000000,1.444567863101968e+21,4.584857497298833e+21
austere,4.000000,8.857143,23.285714,76.571429,230.428571,736.285714,2337.428571,7400.428571,23504.714286,74582.571429,236696.142857,751265.857143,2384355.857143,7567614.571429,24018564.000000,76231467.142857,241948119.428571,767909600.142857,2437238109.142857,7735454885.571428,24551257704.857143,77922277373.142853,247314471494.428558,784941737062.428589,2491295909235.143066,7907026743733.000000,25095803230424.714844,79650589308027.281250,252799893226304.843750,802351703493534.000000,2546552721539800.000000,8082404181787474.000000,25652426829910116.000000,81417235201718256.000000,258406981602341696.000000,820147822207381760.000000,2603035127381466112.000000,8261671482764172288.000000,26221396311996985344.000000,83223065209652396032.000000,264138434905588826112.000000,838338657902281490432.000000,2.660770310025514e+21
